area,perimeter,compactness,length_of_kernel,width_of_kernel,asymmetry_coefficient,length_of_kernel_groove,class
12.963010033444816,13.704983277591973,0.8954491638795987,5.374183946488294,2.6956923076923074,5.806626421404682,5.1507157190635455,1.0
12.927591973244148,13.996354515050168,0.8232110367892977,5.926585284280937,2.63,5.626571906354514,5.17109364548495,1.0
16.64648829431438,14.384849498327759,0.8737040133779265,6.009742474916388,2.8974615384615383,3.363029431438127,4.885802675585285,1.0
12.1838127090301,14.109665551839464,0.8346364548494983,5.576137123745819,3.8734615384615387,7.478561204013378,5.483555183946488,2.0
19.86953177257525,15.696020066889632,0.8335307692307693,4.976217391304348,2.9115384615384614,3.1572528428093642,4.865424749163879,3.0
13.10468227424749,15.744581939799332,0.8770210702341137,6.348311036789298,2.7848461538461535,0.8937103678929765,6.278294314381271,1.0
13.954715719063545,17.023377926421404,0.8674384615384616,5.540498327759197,2.9631538461538462,2.076925752508361,5.1235451505016725,2.0
15.40685618729097,15.517959866220735,0.8858665551839465,5.296966555183946,3.0992307692307692,3.260141137123746,4.838254180602007,1.0
11.475451505016721,13.332675585284282,0.835005016722408,5.956284280936455,3.5684615384615386,2.7456996655518395,5.17109364548495,1.0
13.10468227424749,13.607859531772576,0.8633842809364549,4.904939799331103,3.3432307692307695,2.617089297658863,5.266190635451505,1.0
12.679665551839465,15.712207357859532,0.90613745819398,5.01185618729097,3.1790000000000003,2.128369899665552,4.8314615384615385,1.0
19.26742474916388,13.78591973244147,0.880338127090301,5.8434280936454845,2.6769230769230767,2.2827023411371234,6.101685618729097,2.0
16.186053511705687,16.440635451505017,0.8917635451505017,5.386063545150502,2.709769230769231,1.0223207357859532,5.4156287625418065,1.0
15.3714381270903,14.271538461538462,0.8574872909698997,5.374183946488294,3.2071538461538465,4.237579933110368,5.232227424749164,1.0
15.796454849498328,13.34886287625418,0.872966889632107,5.320725752508361,3.671692307692308,6.655454849498328,4.953729096989966,2.0
20.400802675585286,15.485585284280937,0.8700183946488295,5.083133779264214,3.408923076923077,7.452839130434783,4.974107023411372,1.0
16.43397993311037,15.016153846153847,0.8932377926421405,5.392003344481605,3.906307692307693,6.809787290969901,5.1235451505016725,2.0
