area,perimeter,compactness,length_of_kernel,width_of_kernel,asymmetry_coefficient,length_of_kernel_groove,class
13.70376968383789,14.183693885803223,0.8629094362258911,5.506502151489258,3.0941836833953857,2.9901881217956543,5.126838207244873,1.0
17.03567123413086,16.054054260253906,0.9006233215332031,6.102758884429932,3.5323569774627686,4.5931501388549805,5.549253940582275,2.0
12.263045310974121,13.445429801940918,0.8276636004447937,5.3717875480651855,2.7757627964019775,4.8617472648620605,5.367164134979248,3.0
15.55005168914795,15.01981258392334,0.8820374608039856,5.778935432434082,3.382221221923828,3.9810197353363037,5.431151866912842,1.0
17.199735641479492,16.10095977783203,0.8897690773010254,6.094144344329834,3.504584312438965,5.387874126434326,5.702032089233398,2.0
13.519065856933594,14.098567962646484,0.863135814666748,5.509402751922607,3.1253111362457275,3.179083824157715,5.0594587326049805,1.0
17.772218704223633,16.207212448120117,0.9011794328689575,6.114136219024658,3.637887954711914,3.201154947280884,5.722687721252441,2.0
18.899856567382812,16.54863929748535,0.8998798727989197,6.292060375213623,3.745189666748047,2.8344106674194336,5.907354831695557,2.0
15.180508613586426,14.733192443847656,0.8679959774017334,5.680269718170166,3.284287929534912,1.9571455717086792,5.268701076507568,1.0
11.552848815917969,13.1592435836792,0.8317731022834778,5.325894355773926,2.733191728591919,5.535837650299072,5.236522197723389,3.0
17.50759506225586,16.127933502197266,0.9071905612945557,6.086513042449951,3.6161036491394043,3.13925838470459,5.643833160400391,2.0
14.970512390136719,14.5653715133667,0.8834042549133301,5.622716903686523,3.294675588607788,3.1415910720825195,5.119551658630371,1.0
12.266019821166992,13.679571151733398,0.8460057973861694,5.468620300292969,2.8688838481903076,4.719313621520996,5.042941093444824,1.0
16.590652465820312,15.869810104370117,0.8850551843643188,6.0169806480407715,3.4101457595825195,5.749606132507324,5.492856025695801,2.0
17.321517944335938,16.116804122924805,0.9003282189369202,6.094753265380859,3.5662107467651367,3.571775197982788,5.611114978790283,2.0
14.691633224487305,14.66429328918457,0.8589039444923401,5.752057075500488,3.229098081588745,1.978367805480957,5.273246765136719,1.0
11.320908546447754,13.206843376159668,0.8272161483764648,5.338846683502197,2.712059497833252,4.782394886016846,5.218491554260254,3.0
17.327939987182617,16.227792739868164,0.8940214514732361,6.057170391082764,3.5010879039764404,4.810932636260986,5.570565223693848,2.0
16.265605926513672,15.445093154907227,0.8894860148429871,5.830546855926514,3.483473777770996,5.052484035491943,5.714924335479736,2.0
17.78558349609375,16.031797409057617,0.8923162221908569,6.034814834594727,3.5984673500061035,3.95662784576416,5.842419624328613,2.0
