Class,Alcohol,MalicAcid,Ash,AlcalinityOfAsh,Magnesium,TotalPhenols,Flavanoids,NonflavanoidPhenols,Proanthocyanins,ColorIntensity,Hue,OD280/OD315OfDilutedWines,Proline
2.0,12.936354515050168,1.2307692307692308,2.6421070234113713,19.618729096989966,111,1.8335117056856187,3.1935117056856197,0.24167224080267558,1.576220735785953,4.102207357859532,1.0065551839464884,3.2513043478260872,564
3.0,12.555083612040134,1.1630769230769231,2.022943143812709,24.484949832775918,104,1.2224749163879598,3.7959197324414724,0.29307692307692307,1.8518729096989968,3.4358528428093646,1.1052842809364547,1.5713043478260869,732
3.0,12.466120401337792,2.4153846153846152,1.8353177257525084,24.744481605351172,100,3.0652842809364547,3.114247491638797,0.33916387959866223,1.26876254180602,4.846956521739131,1.2739464882943143,2.922608695652174,957
2.0,14.080167224080267,2.703076923076923,2.1542809364548496,20.072909698996657,103,1.940200668896321,3.558127090301004,0.3267558528428094,1.4383946488294315,6.650033444816054,0.9859866220735786,2.794782608695652,775
3.0,13.520969899665552,2.229230769230769,2.17304347826087,14.103678929765886,105,2.3475585284280935,2.1947826086956526,0.40297658862876257,1.6610367892976587,4.29819397993311,0.9366220735785952,3.8539130434782614,343
1.0,13.126989966555184,5.732307692307692,2.760936454849498,20.591973244147155,115,2.037190635451505,1.2277591973244149,0.2168561872909699,1.120334448160535,3.004682274247492,1.15876254180602,1.3795652173913042,695
1.0,13.482842809364548,1.6707692307692308,2.673377926421405,17.99665551839465,115,3.2301672240802675,1.7667558528428098,0.27357859531772577,2.0957190635451504,5.082140468227425,1.0394648829431437,2.3017391304347825,1459
2.0,11.91963210702341,1.4,2.448227424749164,15.14180602006689,101,2.5124414715719063,2.9081605351170574,0.19913043478260872,1.4277926421404683,4.768561872909699,0.7926421404682273,1.9456521739130435,1389
3.0,12.14839464882943,1.6538461538461537,2.029197324414716,15.790635451505016,81,3.346555183946488,2.2423411371237463,0.26294314381270906,1.512608695652174,2.887090301003345,0.5046822742474917,2.803913043478261,714
1.0,13.368461538461538,4.04,2.6546153846153846,20.46220735785953,84,1.571638795986622,1.7033444816053513,0.5802341137123747,1.014314381270903,7.551571906354514,1.3850167224080268,3.287826086956522,418
1.0,13.520969899665552,1.6538461538461537,1.866588628762542,16.63411371237458,85,3.0361872909698997,1.5131103678929771,0.2647157190635452,1.9048829431438128,8.53150501672241,0.7844147157190635,3.141739130434783,1159
