Class,Alcohol,MalicAcid,Ash,AlcalinityOfAsh,Magnesium,TotalPhenols,Flavanoids,NonflavanoidPhenols,Proanthocyanins,ColorIntensity,Hue,OD280/OD315OfDilutedWines,Proline
3.0,13.37256585085774,3.6802390009335655,2.445707313572174,22.48560970358261,98,1.8445804923561737,0.7534292686427826,0.43685853728556523,1.3551317017154783,7.684078087991651,0.6485609703582609,1.5805756118566958,715
3.0,12.55734270527125,1.8817566714547214,2.2236984970715277,18.026030058569443,89,1.8001085777436114,0.6220824046855558,0.6157809017570832,1.0869306818434725,6.317949596639583,0.7394793988286111,1.546822104099861,673
1.0,13.720285397540897,1.8680406127048625,2.687102086065586,17.13551043032793,113,2.9467343545081044,2.8326125163935165,0.3580406127048626,1.601877053278553,6.6551043032793045,1.1832656454918957,2.9122447848360347,1351
1.0,13.629229253267063,1.8424411420145788,2.377558857985421,17.969590922862853,100,2.641605944373758,2.915117715970842,0.26648822840291575,1.749700117150432,4.256530307620951,1.0854175988204104,3.8138761053545354,994
2.0,11.941320008175346,2.3928489654735703,2.251225073894745,18.0,93,2.7466382020000775,2.2552041789824573,0.20836656814034005,1.6569325451227201,2.7224596880703245,1.1552041789824574,3.123057914596445,318
1.0,13.796216267948632,1.8679002576429153,2.33505196908285,18.642619433185587,105,2.8974220463757248,3.244054066987158,0.22,2.128794221572907,6.421829407421295,1.156528082445733,3.0005821494328906,1512
1.0,13.771054201968408,1.708945798031593,2.4600037296749666,16.315813029526105,90,2.560523371309237,2.82053083065917,0.27157757327764387,1.936325211810442,5.6,1.1736859772144577,3.023693436564391,1305
2.0,12.502900102444636,1.2450129891471138,2.1349870108528863,16.44619381276035,100,2.033267732021487,1.26847752510414,0.5742257734049563,0.5271258758495918,4.653200819557084,1.0994095881933819,1.6253806187239652,551
2.0,12.702403936960177,1.620962204374633,2.2682692913067846,21.444236217610634,81,1.38,1.5840393696017723,0.5386535434660759,1.6241346456533925,3.1533661413348097,0.9269228347728607,2.2088472435221265,492
3.0,13.594529949794566,3.9253669222575662,2.220487902023415,20.806624372432076,88,1.4719159044576982,0.4756445854252265,0.5538675125513585,0.9975961935188867,6.10069814087917,0.7969337562756793,1.7895120979765848,553
1.0,13.122580485955101,3.911820927328768,2.4263581453424643,17.91664988854642,102,2.5528822960312034,2.546670022290716,0.29348591618340975,1.7812072403044126,4.413028167633181,0.8995422514497707,3.1969617654946703,714
1.0,14.027736176806698,1.7401234050161576,2.330740430096945,16.65761696548178,109,3.011604265210048,3.4893829749192125,0.3267489366774384,2.042880848274089,8.174489307175376,1.0963787216289658,3.015638291532021,1324
