Class,Alcohol,MalicAcid,Ash,AlcalinityOfAsh,Magnesium,TotalPhenols,Flavanoids,NonflavanoidPhenols,Proanthocyanins,ColorIntensity,Hue,OD280/OD315OfDilutedWines,Proline
2.0,11.532470703125,3.1598429679870605,2.4420816898345947,21.365386962890625,82,2.4485764503479004,2.5620005130767822,0.39702630043029785,1.4750831127166748,1.6129695177078247,0.5745800137519836,3.342514753341675,267
1.0,13.361003875732422,1.914794683456421,2.5911858081817627,17.889842987060547,103,2.932690143585205,3.2388484477996826,0.30714404582977295,1.4636532068252563,4.329677581787109,0.8217419385910034,3.103217124938965,975
2.0,12.432421684265137,1.6007623672485352,2.33528733253479,20.228662490844727,81,2.4044129848480225,1.8278536796569824,0.24447791278362274,1.6369359493255615,2.573528289794922,1.0587717294692993,2.913726568222046,609
1.0,13.982898712158203,1.2522718906402588,2.4779741764068604,18.340450286865234,115,3.024233102798462,3.176621913909912,0.295827180147171,1.9500072002410889,6.5298871994018555,1.0634130239486694,3.1292777061462402,1341
2.0,11.924541473388672,1.7461894750595093,2.332724094390869,19.39238739013672,79,2.212571859359741,2.193709373474121,0.34382471442222595,1.0650666952133179,0.881109356880188,0.9441384673118591,2.6010148525238037,318
3.0,12.619647979736328,4.925356388092041,2.317950963973999,20.79500389099121,90,1.505605697631836,1.400107502937317,0.5102561116218567,0.9081007838249207,5.594329357147217,0.8497650027275085,2.2094783782958984,457
2.0,12.045700073242188,1.718025803565979,1.7847380638122559,17.924392700195312,65,1.9001047611236572,1.6250638961791992,0.35315990447998047,0.9292992353439331,1.7411409616470337,0.99394291639328,3.234520435333252,365
2.0,12.680863380432129,2.369168519973755,1.9071247577667236,18.43813705444336,85,1.8681764602661133,1.9322222471237183,0.26741674542427063,1.2364826202392578,3.287038564682007,0.9821760058403015,2.7549691200256348,402
2.0,12.930351257324219,5.5526442527771,2.239226818084717,19.783222198486328,80,1.2309978008270264,1.3396284580230713,0.5302130579948425,1.46602201461792,6.191819190979004,0.764452338218689,2.4078283309936523,337
2.0,12.142498016357422,6.696927547454834,2.485903024673462,24.177366256713867,90,1.7667598724365234,2.569727897644043,0.5966564416885376,1.954500436782837,6.294563293457031,1.1765143871307373,3.0443925857543945,180
